                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                  1.098,                0.67013,                 1.3293,                0.87809,                0.82764,                0.92589,                0.64427,                 1.0855,                0.72046,                 1.3706,              0.0013928,              0.0013928,              0.0013928
                     71,                 1.0712,                0.66739,                 1.2994,                0.88296,                0.95646,                0.96879,                0.69156,                  1.027,                0.59993,                  1.344,               0.001384,               0.001384,               0.001384
                     72,                 1.0798,                0.66948,                 1.3061,                0.93202,                0.93749,                0.97124,                0.71033,                0.99091,                0.58287,                 1.3063,              0.0013752,              0.0013752,              0.0013752
                     73,                  1.066,                0.64859,                 1.2954,                0.90602,                0.94872,                 0.9759,                0.70331,                0.99839,                0.62096,                 1.3041,              0.0013664,              0.0013664,              0.0013664
                     74,                 1.0745,                0.66604,                 1.3147,                0.90522,                0.93162,                 0.9669,                0.69243,                 1.0071,                0.60892,                 1.3137,              0.0013576,              0.0013576,              0.0013576
                     75,                 1.0466,                 0.6779,                 1.2759,                0.90626,                0.92267,                0.96285,                0.68925,                 1.0183,                0.59172,                 1.3045,              0.0013488,              0.0013488,              0.0013488
                     76,                 1.0675,                 0.6605,                 1.3028,                0.89672,                0.93996,                0.95833,                0.69065,                 1.0088,                 0.5869,                  1.304,                0.00134,                0.00134,                0.00134
                     77,                 1.0722,                0.65498,                 1.2903,                0.89213,                0.93075,                0.96097,                 0.6916,                 1.0187,                0.60359,                 1.3072,              0.0013312,              0.0013312,              0.0013312
                     78,                 1.0846,                0.66216,                 1.2928,                0.91295,                0.91595,                 0.9671,                0.70335,                0.98136,                0.57388,                 1.3137,              0.0013224,              0.0013224,              0.0013224
                     79,                 1.0447,                0.64609,                 1.2745,                0.89429,                0.95201,                0.96532,                0.69658,                 1.0208,                0.57855,                 1.3136,              0.0013136,              0.0013136,              0.0013136
                     80,                 1.0524,                0.62209,                 1.2798,                0.90037,                0.91595,                0.96361,                0.69856,                 0.9962,                0.58382,                 1.2907,              0.0013048,              0.0013048,              0.0013048
                     81,                 1.0698,                0.63723,                 1.3026,                0.93243,                0.94302,                0.96766,                0.71612,                0.96002,                0.56938,                 1.2751,               0.001296,               0.001296,               0.001296
                     82,                 1.0207,                0.63581,                 1.2675,                0.87458,                0.91384,                 0.9582,                 0.7083,                0.94661,                0.60135,                 1.2678,              0.0012872,              0.0012872,              0.0012872
                     83,                 1.0353,                0.61734,                 1.2741,                0.91919,                 0.9398,                0.95997,                0.69809,                 0.9945,                0.56026,                 1.2893,              0.0012784,              0.0012784,              0.0012784
                     84,                 1.0624,                0.63565,                 1.2847,                0.90117,                0.94302,                0.96929,                0.69488,                 1.0069,                0.57435,                 1.3063,              0.0012696,              0.0012696,              0.0012696
                     85,                 1.0532,                0.62972,                 1.2929,                0.92207,                0.94587,                0.96919,                0.73261,                0.92924,                0.53112,                 1.2554,              0.0012608,              0.0012608,              0.0012608
                     86,                 1.0598,                0.64283,                 1.2733,                 0.8942,                0.95117,                 0.9703,                0.72411,                0.93504,                0.55892,                 1.2562,               0.001252,               0.001252,               0.001252
                     87,                 1.0366,                0.64993,                 1.2748,                0.89749,                0.94017,                0.96632,                0.71618,                0.94478,                0.61055,                 1.2601,              0.0012432,              0.0012432,              0.0012432
                     88,                 1.0545,                0.62668,                 1.2813,                0.92963,                0.94098,                0.97451,                0.72421,                0.93201,                0.53681,                 1.2561,              0.0012344,              0.0012344,              0.0012344
                     89,                 1.0437,                0.64083,                 1.2847,                0.89818,                0.95504,                0.96912,                0.72921,                0.92812,                0.53653,                 1.2477,              0.0012256,              0.0012256,              0.0012256
                     90,                  1.039,                0.64619,                 1.2683,                0.90895,                0.93855,                0.97028,                0.71133,                0.97136,                0.57964,                 1.2791,              0.0012168,              0.0012168,              0.0012168
                     91,                 1.0344,                0.62294,                 1.2592,                0.90033,                0.95223,                0.97419,                0.72767,                0.94242,                0.56587,                 1.2616,               0.001208,               0.001208,               0.001208
                     92,                 1.0039,                0.61973,                 1.2677,                0.89948,                 0.9188,                0.96937,                0.73344,                0.91107,                0.54888,                 1.2453,              0.0011992,              0.0011992,              0.0011992
                     93,                 1.0167,                0.61475,                 1.2624,                0.92332,                0.95014,                0.96213,                0.71965,                 0.9369,                   0.55,                 1.2545,              0.0011904,              0.0011904,              0.0011904
                     94,                 1.0191,                0.62152,                 1.2513,                0.94605,                0.92165,                0.97883,                0.73485,                0.94314,                0.52001,                 1.2424,              0.0011816,              0.0011816,              0.0011816
                     95,                 1.0223,                0.63733,                 1.2591,                0.90812,                0.95746,                0.97136,                0.73536,                0.92868,                 0.5579,                 1.2437,              0.0011728,              0.0011728,              0.0011728
                     96,                 1.0033,                0.61717,                 1.2342,                0.92587,                0.94299,                0.97682,                 0.7217,                0.95503,                0.54834,                 1.2552,               0.001164,               0.001164,               0.001164
                     97,                 1.0068,                0.61825,                  1.223,                0.92151,                0.94872,                0.98164,                0.74233,                0.91582,                0.54007,                 1.2299,              0.0011552,              0.0011552,              0.0011552
                     98,                 1.0032,                0.61268,                 1.2551,                0.91118,                0.96011,                0.97597,                 0.7294,                 0.9231,                0.54225,                 1.2514,              0.0011464,              0.0011464,              0.0011464
                     99,                0.99408,                0.60222,                 1.2338,                0.91121,                0.96011,                0.97121,                0.73741,                0.89977,                0.52515,                 1.2161,              0.0011376,              0.0011376,              0.0011376
                    100,                 1.0079,                0.61382,                 1.2399,                0.93717,                0.93491,                0.98125,                0.74638,                0.90582,                 0.5215,                 1.2299,              0.0011288,              0.0011288,              0.0011288
                    101,                  1.011,                0.60435,                 1.2702,                0.92287,                0.95443,                0.98062,                0.74324,                0.91049,                0.51392,                 1.2345,                0.00112,                0.00112,                0.00112
                    102,                0.99272,                  0.598,                 1.2178,                0.91969,                0.95014,                0.97783,                0.74336,                0.89578,                0.52385,                 1.2338,              0.0011112,              0.0011112,              0.0011112
                    103,                 1.0123,                0.59815,                 1.2522,                0.93594,                 0.9302,                0.97845,                0.74375,                0.89844,                0.50986,                  1.218,              0.0011024,              0.0011024,              0.0011024
                    104,                0.96789,                0.58723,                  1.228,                0.93622,                0.94872,                0.97575,                0.74092,                0.88517,                0.52623,                 1.2215,              0.0010936,              0.0010936,              0.0010936
                    105,                0.97344,                0.57954,                 1.2255,                0.90596,                0.97431,                0.97516,                0.74718,                 0.9115,                0.50385,                 1.2217,              0.0010848,              0.0010848,              0.0010848
                    106,                0.98192,                0.61098,                 1.2252,                 0.9266,                 0.9531,                 0.9801,                0.74112,                0.90661,                0.54094,                 1.2286,               0.001076,               0.001076,               0.001076
                    107,                0.97971,                0.58974,                 1.2319,                0.94132,                0.93875,                0.97978,                0.74585,                0.88829,                0.50201,                 1.2169,              0.0010672,              0.0010672,              0.0010672
                    108,                0.96851,                0.57239,                 1.2201,                0.93795,                0.96154,                0.98195,                0.74793,                0.89859,                0.49282,                 1.2316,              0.0010584,              0.0010584,              0.0010584
                    109,                0.96871,                 0.5834,                 1.2191,                0.92529,                0.95272,                0.97888,                0.74244,                0.90611,                0.50941,                 1.2163,              0.0010496,              0.0010496,              0.0010496
                    110,                0.99211,                0.59249,                 1.2398,                0.93936,                0.94892,                0.98077,                0.75507,                0.89445,                0.50829,                 1.2179,              0.0010408,              0.0010408,              0.0010408
                    111,                 0.9908,                0.58676,                 1.2289,                0.94826,                0.95157,                0.98431,                0.76254,                0.86574,                0.49601,                 1.1924,               0.001032,               0.001032,               0.001032
                    112,                 0.9894,                0.60563,                 1.2221,                0.93309,                0.95348,                0.98188,                0.75553,                0.87061,                0.51367,                 1.2011,              0.0010232,              0.0010232,              0.0010232
                    113,                0.94649,                0.57698,                  1.215,                0.92165,                0.95518,                  0.978,                0.75854,                0.85751,                0.50249,                  1.196,              0.0010144,              0.0010144,              0.0010144
                    114,                0.95661,                0.58144,                 1.2017,                0.93249,                 0.9642,                0.98123,                0.73721,                0.91957,                 0.4971,                 1.2326,              0.0010056,              0.0010056,              0.0010056
                    115,                0.97562,                0.58633,                 1.2095,                0.93405,                0.97293,                 0.9796,                0.76448,                0.83962,                0.47988,                 1.1904,              0.0009968,              0.0009968,              0.0009968
                    116,                0.97504,                0.59058,                 1.2168,                0.93434,                0.93875,                 0.9784,                0.74746,                0.87263,                 0.5278,                 1.2105,               0.000988,               0.000988,               0.000988
                    117,                0.96157,                0.57729,                 1.2163,                0.93638,                 0.9644,                0.98578,                0.75971,                0.88394,                0.49074,                 1.2116,              0.0009792,              0.0009792,              0.0009792
                    118,                0.98433,                0.57713,                  1.209,                0.93048,                0.96439,                0.98486,                0.76695,                0.84141,                0.48111,                 1.1905,              0.0009704,              0.0009704,              0.0009704
                    119,                0.96276,                0.58186,                 1.2249,                0.93751,                0.96177,                0.98239,                0.76255,                0.84686,                0.48421,                 1.1886,              0.0009616,              0.0009616,              0.0009616
                    120,                0.95722,                0.58172,                  1.207,                0.92496,                0.97721,                0.98617,                0.76657,                0.84773,                0.47564,                 1.1761,              0.0009528,              0.0009528,              0.0009528
                    121,                 0.9406,                0.56302,                 1.2034,                0.93872,                 0.9416,                0.98242,                0.75106,                0.84583,                0.49959,                 1.1948,               0.000944,               0.000944,               0.000944
                    122,                0.94027,                0.55419,                  1.196,                0.94299,                0.97009,                0.98082,                0.75628,                 0.8721,                 0.4774,                 1.1956,              0.0009352,              0.0009352,              0.0009352
                    123,                0.94053,                0.57434,                 1.1981,                0.93562,                0.96724,                0.98307,                0.76765,                0.84941,                0.50007,                 1.1945,              0.0009264,              0.0009264,              0.0009264
                    124,                0.95469,                0.57478,                 1.2244,                0.93964,                0.95869,                0.98361,                0.77436,                0.81586,                 0.4714,                 1.1717,              0.0009176,              0.0009176,              0.0009176
                    125,                 0.9621,                0.55709,                 1.2075,                0.93245,                0.97721,                0.98803,                0.76769,                0.83656,                0.46793,                  1.179,              0.0009088,              0.0009088,              0.0009088
                    126,                0.95581,                0.58083,                  1.216,                0.92529,                0.97037,                0.98083,                0.75521,                 0.8656,                0.52215,                  1.192,                 0.0009,                 0.0009,                 0.0009
                    127,                0.92658,                0.54461,                 1.1828,                0.95342,                0.96229,                0.98673,                0.76005,                0.84614,                0.46074,                 1.1904,              0.0008912,              0.0008912,              0.0008912
                    128,                0.95218,                0.55455,                 1.2181,                0.93668,                0.96724,                0.98315,                  0.772,                0.82604,                0.46263,                 1.1648,              0.0008824,              0.0008824,              0.0008824
                    129,                0.93362,                0.53545,                 1.1845,                0.93703,                0.97505,                0.98356,                0.76766,                0.85941,                0.45947,                 1.1763,              0.0008736,              0.0008736,              0.0008736
                    130,                 0.9348,                0.53096,                  1.192,                 0.9314,                0.94768,                0.98168,                0.76665,                0.85718,                0.47657,                 1.1856,              0.0008648,              0.0008648,              0.0008648
                    131,                0.93965,                 0.5488,                 1.1915,                0.95424,                0.94587,                0.98718,                0.76908,                0.84012,                0.46932,                 1.1745,               0.000856,               0.000856,               0.000856
                    132,                0.94667,                0.55028,                 1.2107,                0.93873,                0.97436,                0.98267,                0.75974,                0.87238,                0.46429,                 1.1894,              0.0008472,              0.0008472,              0.0008472
                    133,                0.95333,                0.56921,                 1.1996,                0.93526,                0.97578,                0.98772,                0.76693,                0.84298,                 0.4641,                 1.1841,              0.0008384,              0.0008384,              0.0008384
                    134,                0.94506,                0.57169,                 1.2104,                0.91322,                0.97442,                0.98486,                0.76898,                0.83997,                0.47602,                 1.1785,              0.0008296,              0.0008296,              0.0008296
                    135,                0.90695,                0.53938,                 1.1988,                0.95366,                0.96733,                0.98898,                0.77388,                0.81895,                0.44873,                 1.1815,              0.0008208,              0.0008208,              0.0008208
                    136,                0.93509,                0.55189,                 1.1999,                0.94475,                0.97426,                0.98993,                0.78259,                0.80773,                0.44233,                 1.1687,               0.000812,               0.000812,               0.000812
                    137,                0.93305,                0.53343,                 1.2017,                0.94858,                0.98575,                0.98975,                 0.7871,                0.81716,                0.42806,                  1.185,              0.0008032,              0.0008032,              0.0008032
